country_name,population_total,gdp
Japan,125584.8380,43758.6263
United_Kingdom,68497.9070,42732.4006
South_Korea,51329.8990,33983.3125
Australia,26068.7920,56828.8703
Mexico,131562.7720,9864.1126
Turkey,85561.9760,9461.6211
Poland,37739.7850,17044.9832
Austria,9066.7100,53125.9961
Norway,5511.3700,79585.1122
Israel,8922.8920,45272.4296
Colombia,51512.7620,6848.9824
Chile,19250.1950,16288.7181
Finland,5554.9600,52069.3218
Czech_Republic,10736.7840,24191.2290
Portugal,10140.5700,24644.7685
Slovakia,5460.1930,21500.8883
Costa_Rica,5182.3540,12245.4004
Slovenia,2078.0340,28013.4974
Lithuania,2661.7080,21640.9914
Latvia,1848.8370,20608.6313
Estonia,1321.9100,25141.6511
Iceland,345.3930,77653.5714
